endTime,artistName,trackName,msPlayed
2022-05-24 10:38,Calvin Harris,One Kiss (with Dua Lipa),136256
2022-05-26 10:24,Vinnie Moore,The Maze,1706
2022-05-26 10:28,Childish Gambino,Sober,252026
2022-05-26 10:30,Talking Heads,Don't Worry About the Government - 2005 Remaster,121404
2022-05-27 10:31,Jimi Hendrix,Purple Haze,0
2022-05-27 10:31,Vinnie Moore,The Maze,0
2022-05-27 10:35,Spin Doctors,Two Princes,250858
2022-05-27 21:50,Vance Joy,Riptide,1642
2022-05-27 21:50,TOTO,Africa,222336
2022-05-27 21:54,Trueno,Rain II,204393
2022-05-27 21:58,Paulo Londra,Chica Paranormal,221214
2022-05-27 22:02,Bhavi,Piso,219924
2022-05-27 22:05,Duki,Si Te Sentis Sola,178294
2022-05-27 22:07,Tiago PZK,Salimo de Noche,177857
2022-05-27 22:11,Paulo Londra,Dímelo,212515
2022-05-27 22:14,Duki,Goteo,164457
2022-05-27 22:17,Dillom,OPA,169824
2022-05-27 22:20,Eladio Carrion,Sin Frenos,13209
2022-05-27 22:20,WOS,CULPA,215717
2022-05-28 00:17,Dillom,A$AP,89408
2022-05-28 00:20,Trueno,DANCE CRIP,165019
2022-05-28 00:22,Dillom,OPA,169824
2022-05-28 00:25,Duki,Si Te Sentis Sola,178294
2022-05-28 00:26,Bizarrap,"Ptazeta: Bzrp Music Sessions, Vol. 45",28639
2022-05-28 00:29,Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",177442
2022-05-28 00:33,Paulo Londra,Adan y Eva,258638
2022-05-28 00:36,WOS,MELÓN VINO,176394
2022-05-28 00:39,Trueno,Rain II,198078
2022-05-28 00:40,Bad Bunny,Amorfoda,9431
2022-05-28 00:43,Trueno,Rain,182831
2022-05-28 00:46,El Alfa,La Mamá de la Mamá,4176
2022-05-28 00:46,CA7RIEL,OUKE,178263
2022-05-28 00:49,Dillom,SIDE,191438
2022-05-28 00:52,Duki,Goteo,164457
2022-05-28 00:55,Bizarrap,"Aleman: Bzrp Music Sessions, Vol. 15",174178
2022-05-28 00:59,Paulo Londra,Tal Vez,264483
2022-05-28 00:59,John C,C90 - Remix,998
2022-05-28 00:59,Kidd Keo,Dracukeo,1602
